distribution_channel,previous_cancellations,booking_changes,agent,company,days_in_waiting_list,reservation_status
Direct,0,3,0.0,0.0,0,Check-Out
Direct,0,4,0.0,0.0,0,Check-Out
Direct,0,0,0.0,0.0,0,Check-Out
Corporate,0,0,304.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
Direct,0,0,0.0,0.0,0,Check-Out
Direct,0,0,303.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,15.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,1,241.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,8.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
Corporate,0,0,0.0,110.0,0,Check-Out
Direct,0,0,250.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
Direct,0,1,250.0,0.0,0,Check-Out
Direct,0,1,250.0,0.0,0,Check-Out
Direct,0,1,250.0,0.0,0,Check-Out
TA/TO,0,0,115.0,0.0,0,Check-Out
TA/TO,0,0,5.0,0.0,0,Check-Out
TA/TO,0,0,8.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
Direct,0,2,0.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
Direct,0,0,0.0,0.0,0,Canceled
TA/TO,0,0,175.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Canceled
TA/TO,0,0,241.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Canceled
Direct,0,0,250.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Canceled
TA/TO,0,0,8.0,0.0,0,Check-Out
Direct,0,0,0.0,0.0,0,Check-Out
Direct,0,0,250.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,134.0,0.0,0,Check-Out
TA/TO,0,0,156.0,0.0,0,Check-Out
TA/TO,0,1,243.0,0.0,0,Check-Out
TA/TO,0,1,241.0,0.0,0,Check-Out
TA/TO,0,0,156.0,0.0,0,Check-Out
TA/TO,0,0,156.0,0.0,0,Check-Out
TA/TO,0,0,243.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
Direct,0,0,0.0,0.0,0,Check-Out
Direct,0,0,0.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
Direct,0,0,0.0,0.0,0,Check-Out
TA/TO,0,0,242.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
Direct,0,0,250.0,0.0,0,Check-Out
TA/TO,0,0,115.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,242.0,0.0,0,Check-Out
TA/TO,0,0,242.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,3.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,242.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,105.0,0.0,0,Check-Out
TA/TO,0,0,5.0,0.0,0,Check-Out
TA/TO,0,0,40.0,0.0,0,Check-Out
TA/TO,0,0,40.0,0.0,0,Canceled
TA/TO,0,0,40.0,0.0,0,Check-Out
Direct,0,2,250.0,0.0,0,Canceled
TA/TO,0,0,115.0,0.0,0,Check-Out
TA/TO,0,0,40.0,0.0,0,Check-Out
TA/TO,0,1,241.0,0.0,0,Check-Out
TA/TO,0,0,242.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,242.0,0.0,0,Canceled
TA/TO,0,0,105.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
Direct,0,0,250.0,0.0,0,Check-Out
Direct,0,0,250.0,0.0,0,Check-Out
TA/TO,0,0,8.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
Direct,0,0,250.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,134.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,147.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,40.0,0.0,0,Check-Out
TA/TO,0,0,40.0,0.0,0,Check-Out
Direct,0,1,250.0,0.0,0,Check-Out
TA/TO,0,1,240.0,0.0,0,Check-Out
TA/TO,0,0,8.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
Direct,0,1,250.0,0.0,0,No-Show
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,240.0,0.0,0,Canceled
Direct,0,2,0.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,1,306.0,0.0,0,Check-Out
TA/TO,0,0,184.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,184.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
Direct,0,0,0.0,0.0,0,Check-Out
TA/TO,0,3,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,15.0,0.0,0,Canceled
Direct,0,1,250.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Canceled
TA/TO,0,0,175.0,0.0,0,Check-Out
TA/TO,0,1,240.0,0.0,0,Check-Out
TA/TO,0,0,5.0,0.0,0,Check-Out
Direct,0,3,0.0,0.0,0,Check-Out
TA/TO,0,0,40.0,0.0,0,Check-Out
TA/TO,0,0,40.0,0.0,0,Check-Out
TA/TO,0,0,243.0,0.0,0,Check-Out
TA/TO,0,1,240.0,0.0,0,Check-Out
TA/TO,0,0,240.0,0.0,0,Check-Out
TA/TO,0,0,241.0,0.0,0,Check-Out
TA/TO,0,0,96.0,0.0,0,Check-Out
Direct,0,0,250.0,0.0,0,Check-Out
TA/TO,0,1,240.0,0.0,0,Check-Out
